chr1	83	0.18
chr1	89	0.11
chr1	95	0.00
chr1	596	0.67
chr1	1563	0.82
chr1	1576	0.62
chr1	1579	0.64
chr1	1622	0.44
chr1	1625	0.58
chr1	1687	0.80
chr1	1713	0.92
chr1	1739	0.80
chr1	1774	0.84
chr1	1806	0.05
chr1	1820	0.12
chr1	1867	0.79
chr1	1923	0.67
chr1	1981	0.31
chr1	1984	0.62
chr1	2018	1.00
chr1	2039	1.00
chr1	2042	1.00
chr1	2531	0.44
chr1	2536	0.75
chr1	2565	0.67
chr1	5312	0.50
chr1	5609	0.60
chr1	5611	0.36
chr1	5624	0.27
chr1	6190	0.09
chr1	6312	0.23
chr1	6346	0.73
chr1	6352	0.80
chr1	6373	0.75
chr1	7071	0.05
chr1	7368	0.50
chr1	7684	0.00
chr1	7719	0.00
chr1	8218	0.16
chr1	8438	0.00
chr1	8677	0.00
chr1	8761	0.12
chr1	8836	0.17
chr1	9171	0.59
chr1	9186	0.70
chr1	9241	0.68
chr1	9262	0.74
chr1	9268	0.66
chr1	9304	0.28
chr1	9425	0.70
chr1	9445	0.65
chr1	9724	0.10
chr1	9930	0.11
chr1	10228	0.00
chr1	10278	0.62
chr1	10322	0.62
chr1	10330	0.58
chr1	10354	0.77
chr1	10378	0.50
chr1	10448	0.67
chr1	10456	0.00
chr1	10615	0.60
chr1	11414	0.20
chr1	11496	0.17
chr1	12329	0.33
chr1	12363	0.50
chr1	12415	0.33
chr1	13198	0.00
chr1	13272	0.25
chr1	13572	0.08
chr1	14447	0.29
chr1	14674	0.17
chr1	14705	0.44
chr1	14725	0.86
chr1	16324	0.86
chr1	16335	0.71
chr1	16538	0.55
chr1	16553	0.45
chr1	17393	1.00
chr1	17455	0.50
chr1	17496	0.67
chr1	17498	1.00
chr1	17578	1.00
chr1	17652	0.60
chr1	20922	0.67
chr1	29311	0.80
chr1	29645	0.25
chr1	29702	0.50
chr1	29949	0.82
chr1	29968	0.65
chr1	30024	0.43
chr1	30308	0.20
chr1	30316	0.57
chr1	30407	0.00
chr1	30479	0.80
chr1	30514	0.75
chr1	30525	0.00
chr1	30622	0.40
chr1	31904	0.83
chr1	31923	0.17
